#Gene	Genome Location	Role in Cancer	Tumour Type(Somatic)	Tumor Type(Germline)	Mutated Tumor Samples(Bert Vogelstein125)	Cancer Type(SMG127)	Putative Driver Category(Comprehensive435)
SMAD3	15:67066155-67190536	TSG	colorectal; hepatocellular carcinoma; oral squamous cell carcinoma	.	.	.	.
SMAD4	18:51047047-51078467	TSG	colorectal; pancreatic; small intestine	gastrointestinal polyp	207	COAD/READ	High Confidence Driver
SMARCA4	19:10984152-11061816	TSG	NSCLC; SCCOHT	.	68	.	High Confidence Driver
SMARCAD1	.	.	.	.	.	.	Candidate driver
SMARCB1	22:23787170-23834180	TSG	malignant rhabdoid	malignant rhabdoid	247	.	.
SMARCD1	12:50085487-50099000	.	breast	.	.	.	.
SMARCE1	17:40628785-40645626	.	.	meningioma	.	.	.
SMC1A	.	.	.	.	.	LAML	High Confidence Driver
SMC3	.	.	.	.	.	.	High Confidence Driver
SMC4	.	.	.	.	.	.	Candidate driver
SMCHD1	.	.	.	.	.	.	Candidate driver
SMO	7:129189152-129212451	oncogene	skin basal cell	.	34	.	.
SMYD4	.	.	.	.	.	.	Candidate driver
SND1	7:127652374-128092058	.	pancreas acinar carcinoma	.	.	.	.
SOCS1	16:11254843-11255478	TSG	Hodgkin lymphoma; PMBL	.	41	.	.
SOS1	.	.	.	.	.	.	High Confidence Driver
SOX17	.	.	.	.	.	UCEC	High Confidence Driver
SOX2	3:181712361-181713314	.	NSCLC; oesophageal squamous carcinoma	.	.	.	.
SOX9	.	TSG	.	.	9	COAD/READ	Candidate driver
SPATA6	.	.	.	.	.	.	High Confidence Driver
SPECC1	17:20096653-20314066	.	JMML	.	.	.	.
SPEG	.	.	.	.	.	.	Candidate driver
SPEN	1:15848068-15939427	.	SMZL; adenoid cystic carcinoma; DLBCL	.	.	.	High Confidence Driver
SPOP	17:49600378-49622810	oncogene	prostate; endometrial	prostate cancer	35	.	High Confidence Driver
SPTAN1	.	.	.	.	.	.	Candidate driver
SRCAP	.	.	.	.	.	.	Candidate driver
SRGAP3	3:8985519-9248951	.	pilocytic astrocytoma	.	.	.	.
SRRM2	.	.	.	.	.	.	Candidate driver
SRSF2	17:76736161-76737160	oncogene	MDS; CLL	.	273	.	.
SRSF3	6:36596763-36601989	.	follicular lymphoma	.	.	.	.
SS18	18:26018354-26090569	.	synovial sarcoma	.	.	.	.
SS18L1	20:62143822-62179209	.	synovial sarcoma	.	.	.	.
SSX1	X:48257242-48266387	.	synovial sarcoma	.	.	.	.
SSX2	X:52752681-52789480	.	synovial sarcoma	.	.	.	.
SSX2IP	.	.	.	.	.	.	Candidate driver
SSX4	X:48391869-48411372	.	synovial sarcoma	.	.	.	.
STAG2	X:124022628-124100597	TSG	bladder carcinoma; glioblastoma; melanoma; Ewing's sarcoma; myeloid neoplasms	.	21	GBM,BLCA,LAML	High Confidence Driver
STAT3	17:42315745-42348516	oncogene	T-cell large granular lymphocytic leukaemia	paediatric large granular lymphocytic leukaemia	.	.	High Confidence Driver
STAT5B	17:42201738-42232127	.	large granular lymphocytic leukaemia; skin basal cell; APL	.	.	.	.
STAT6	12:57096572-57108278	.	solitary fibrous tumour; meningeal haemangiopericytoma	.	.	.	.
STIL	1:47251136-47310319	.	T-ALL	.	.	.	.
STIP1	.	.	.	.	.	.	Candidate driver
STK11	19:1206914-1226647	TSG	NSCLC; pancreatic	jejunal hamartoma; ovarian; testicular; pancreatic	220	LUSC,LUAD	High Confidence Driver
STRN	2:36849456-36966463	.	anaplastic thyroid; papillary thyroid; lung	.	.	.	.
SUFU	10:102504153-102630155	.	medulloblastoma	medulloblastoma	.	.	.
SUZ12	17:31937247-31999003	.	endometrial stromal tumour	.	.	.	High Confidence Driver
SVIL	.	.	.	.	.	.	Candidate driver
SYK	9:90843899-90895600	oncogene	MDS; peripheral T-cell lymphoma	.	.	.	.
SYNE1	.	.	.	.	.	.	High Confidence Driver
TAF1	.	.	.	.	.	UCEC	High Confidence Driver
TAF15	17:35809571-35846946	.	extraskeletal myxoid chondrosarcoma; ALL	.	.	.	.
TAL1	1:47219720-47225888	.	lymphoblastic leukaemia/biphasic	.	.	.	.
TAL2	9:108424779-108425393	.	T-ALL	.	.	.	.
TANC2	.	.	.	.	.	.	Candidate driver
TBL1XR1	3:177025498-177064977	.	splenic marginal zone lymphoma; primary central nervous system lymphoma; colorectal carcinoma; gallbladder carcinoma	.	.	BRCA	High Confidence Driver
TBX3	12:114671841-114683200	oncogene/TSG	breast; large intestine; skin	.	.	LUAD,BRCA	High Confidence Driver
TCEA1	8:53970288-53984488	.	salivary adenoma	.	.	.	.
TCF12	15:56919914-57288514	.	extraskeletal myxoid chondrosarcoma	.	.	.	High Confidence Driver
TCF3	19:1611707-1650248	.	pre B-ALL	.	.	.	.
TCF7	.	.	.	.	.	.	High Confidence Driver
TCF7L2	10:112950757-113165972	.	colorectal	.	.	.	High Confidence Driver
TCL1A	14:95711755-95714066	.	T-CLL	.	.	.	.
TCL6	14:95665061-95671429	.	T-ALL	.	.	.	.
TERT	5:1253728-1294989	.	melanoma; glioblastoma; hepatocellular carcinoma; bladder; skin basal cell; skin squamous cell; mesothelioma; medulloblastoma; other tumour types	melanoma	.	.	.
TET1	10:68572340-68691815	oncogene/TSG	AML	.	.	.	.
TET2	4:105233943-105276519	TSG	MDS	.	864	LAML	High Confidence Driver
TFDP1	.	.	.	.	.	.	High Confidence Driver
TFE3	X:49030158-49043226	.	papillary renal; alveolar soft part sarcoma; renal	.	.	.	.
TFEB	6:41684599-41691213	.	renal cell carcinoma (childhood epithelioid)	.	.	.	.
TFG	3:100713687-100748532	.	papillary thyroid; ALCL; NSCLC; extraskeletal myxoid chondrosarcoma	.	.	.	.
TFPT	19:54107050-54115269	.	pre-B ALL	.	.	.	.
TFRC	3:196051942-196077099	.	NHL	.	.	.	.
TGFBR2	3:30606884-30691599	TSG	head and neck; colorectal	colorectal	.	HNSC	High Confidence Driver
TGIF1	.	.	.	.	.	.	High Confidence Driver
TGOLN2	.	.	.	.	.	.	Candidate driver
THRAP3	1:36282564-36304017	.	aneurysmal bone cyst	.	.	.	.
TICAM1	.	.	.	.	.	.	Candidate driver
TJP2	.	.	.	.	.	.	High Confidence Driver
TLR4	.	.	.	.	.	LUAD	Candidate driver
TLX1	10:101131543-101136914	.	T-ALL	.	.	.	.
TLX3	5:171309367-171311600	.	T-ALL	.	.	.	.
TMPRSS2	21:41466142-41498133	.	prostate	.	.	.	.
TNFAIP3	6:137871228-137881319	TSG	marginal zone B-cell lymphomas; Hodgkin lymphoma; PMBL	.	136	.	.
TNFRSF10C	.	.	.	.	.	.	High Confidence Driver
TNFRSF14	1:2556665-2563273	.	follicular lymphoma	.	.	.	.
TNFRSF17	16:11965325-11967847	.	intestinal T-cell lymphoma	.	.	.	.
TNKS1BP1	.	.	.	.	.	.	Candidate driver
TNPO1	.	.	.	.	.	.	Candidate driver
TOM1	.	.	.	.	.	.	High Confidence Driver
TOP1	20:41029068-41123297	.	AML*	.	.	.	.
TOP3A	.	.	.	.	.	.	High Confidence Driver
TP53	17:7669609-7676594	oncogene/TSG	breast; colorectal; lung; sarcoma; adrenocortical; glioma; Spitzoid tumour; multiple other tumour types	breast; sarcoma; adrenocortical carcinoma; glioma; multiple other tumour types	14438	BRCA,UCEC,LUAD,HNSC,LAML,COAD/READ,BLCA,LUSC,OV,KIRC,GBM	High Confidence Driver
TP53BP1	.	.	.	.	.	.	High Confidence Driver
TP63	3:189631516-189894502	oncogene/TSG	HNSCC; DLBCL	NSCLC	.	.	.
TPM1	.	.	.	.	.	.	Candidate driver
TPM3	1:154157639-154183119	TSG	papillary thyroid; ALCL; NSCLC; Spitzoid tumour	.	.	.	.
TPM4	19:16076567-16101347	.	ALCL	.	.	.	.
TPR	1:186313971-186375028	.	papillary thyroid; NSCLC	.	.	.	High Confidence Driver
TRA	14:-	.	T-ALL	.	.	.	.
TRAF7	16:2163921-2176574	TSG	meningioma	.	123	.	.
TRB	7:-	.	T-ALL	.	.	.	.
TRD	14:-	.	T-cell leukaemia	.	.	.	.
TRIM24	7:138460549-138584951	oncogene	APL	.	.	.	.
TRIM27	6:28904070-28923632	.	papillary thyroid	.	.	.	.
TRIM33	1:114397648-114511076	.	papillary thyroid	.	.	.	.
TRIM7	.	.	.	.	.	.	High Confidence Driver
TRIO	.	.	.	.	.	.	High Confidence Driver
TRIP11	14:91969673-92039685	.	AML	.	.	.	High Confidence Driver
TRRAP	7:98881151-99012355	oncogene	melanoma	.	.	.	.
TSC1	9:132896235-132928872	TSG	renal cell carcinoma; bladder carcinoma	hamartoma; renal cell carcinoma; tuberous sclerosis tuber	20	.	.
TSC2	16:2048616-2088610	TSG	pulmonary lymphangioleiomyomatosis (LAM); renal angiomyolipoma; HNSCC	hamartoma; renal cell carcinoma; tuberous sclerosis tuber	.	.	High Confidence Driver
TSHR	14:80955681-81144353	oncogene	toxic thyroid adenoma	thyroid adenoma	301	.	.
TSHZ2	.	.	.	.	.	LUAD,COAD/READ,GBM	.
TSHZ3	.	.	.	.	.	LUAD,LUSC,COAD/READ	.
TTK	.	.	.	.	.	.	Candidate driver
TTL	2:112482346-112528796	.	ALL	.	.	.	.
TUBA1A	.	.	.	.	.	.	High Confidence Driver
TXNIP	.	.	.	.	.	.	High Confidence Driver
U2AF1	21:43093102-43107494	oncogene	CLL; MDS	.	96	LAML,LUAD	High Confidence Driver
UBE2Z	.	.	.	.	.	.	Candidate driver
UBE4A	.	.	.	.	.	.	Candidate driver
UBR5	8:102254302-102412234	.	mantle cell lymphoma; gastric; colorectal	.	.	.	.
UHRF1BP1L	.	.	.	.	.	.	High Confidence Driver
USP28	.	.	.	.	.	.	Candidate driver
USP6	17:5130368-5148597	.	aneurysmal bone cyst	.	.	.	.
USP8	15:50439074-50499088	oncogene	corticotroph adenoma	.	.	.	.
USP9X	.	.	.	.	.	UCEC	Candidate driver
UTP14A	.	.	.	.	.	.	Candidate driver
VEZT	.	.	.	.	.	.	Candidate driver
VHL	3:10141848-10149965	TSG	renal; haemangioma; pheochromocytoma	renal; haemangioma; pheochromocytoma	1287	KIRC	High Confidence Driver
VTI1A	10:112447374-112815383	.	colorectal	.	.	.	.
WAS	X:48683854-48691162	oncogene	.	lymphoma	.	.	.
WHSC1	4:1900655-1978909	.	MM	.	.	.	High Confidence Driver
WHSC1L1	8:38317956-38348171	.	AML	.	.	.	High Confidence Driver
WIF1	12:65051349-65121191	.	pleomorphic salivary gland adenoma	.	.	.	.
WRN	8:31058448-31173102	.	.	osteosarcoma; meningioma; other tumour types	.	.	High Confidence Driver
WT1	11:32389058-32435141	TSG	Wilms tumour; desmoplastic small round cell tumour	Wilms tumour	312	LAML	High Confidence Driver
WWTR1	3:149520805-149657306	oncogene	epithelioid haemangioendothelioma	.	.	.	.
XPA	9:97675439-97697292	TSG	.	skin basal cell; skin squamous cell; melanoma	.	.	.
XPC	3:14145941-14178568	TSG	.	skin basal cell; skin squamous cell; melanoma	.	.	.
XPO1	2:61478820-61533897	oncogene	CLL	.	.	.	.
YWHAE	17:1345447-1400110	.	endometrial stromal sarcoma	.	.	.	.
ZBTB16	11:114063302-114250556	.	APL	.	.	.	.
ZCCHC8	12:122473497-122500840	.	Spitzoid tumour	.	.	.	.
ZEB2	.	.	.	.	.	.	Candidate driver
ZFHX3	16:72787164-72960145	TSG	endometrial; gastric; prostate	.	.	.	High Confidence Driver
ZFP36L1	.	.	.	.	.	.	High Confidence Driver
ZFP36L2	.	.	.	.	.	.	High Confidence Driver
ZMYM2	.	.	.	.	.	.	High Confidence Driver
ZMYM4	.	.	.	.	.	.	Candidate driver
ZMYND8	.	.	.	.	.	.	Candidate driver
ZNF132	.	.	.	.	.	.	High Confidence Driver
ZNF198	13:19993073-20086014	.	MPN; NHL	.	.	.	.
ZNF278	22:31326891-31345602	.	Ewing sarcoma	.	.	.	.
ZNF300	.	.	.	.	.	.	High Confidence Driver
ZNF331	19:53569378-53577953	.	follicular thyroid adenoma	.	.	.	.
ZNF384	12:6667714-6679520	.	ALL	.	.	.	.
ZNF451	.	.	.	.	.	.	Candidate driver
ZNF521	18:25062712-25350946	.	ALL	.	.	.	.
ZNF703	.	.	.	.	.	.	Candidate driver
ZNF814	.	.	.	.	.	.	High Confidence Driver
ZNF844	.	.	.	.	.	.	High Confidence Driver
ZNF91	.	.	.	.	.	.	High Confidence Driver
ZRSR2	X:15790496-15823242	.	MDS; CLL	.	.	.	.
